id,video_id,data,timestamp
1,1,'Version: 6.0033.414.911
Esn: NFCDCH-MC-HQ3P2RXDV5A2V9X6CLG73E208VDQJX
PBCID: 6.84xtb5vsG-KM8s_mWrOtPE-su1QwO7KDN7HOexcxtfM
UserAgent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

MovieId: 81323602
TrackingId: 14170287
Xid: 167235236867452300 (167235236867452300)
Position: 890.001
Duration: 3815.333
PlayerDuration: 3815.333
Volume: 90%
Segment Position: 890.001
Segment: 81323602:main

Player state: Normal
Buffering state: Normal
Rendering state: Waiting for decoder

Playing bitrate (a/v): 96 / 3566 (1920x1080)
Playing/Buffering vmaf: 96/96
Buffering bitrate (a/v): 96 / 3566
Buffer size in Bytes (a/v): 0 / 0
Buffer size in Bytes: 0
Buffer size in Seconds (a/v): 31.913 / 13.999
Current CDN (a/v): c001.lcj001.toyapl.isp.nflxvideo.net, Id: 56691 / c003.lcj001.toyapl.isp.nflxvideo.net, Id: 69383

Audio Track: en, Id: A:2:1;2;en;1;0;, Channels: 2.0, Codec: audio/mp4; codecs="mp4a.40.5" (he-aac)
Video Track: Codec: video/mp4;codecs=avc1.4d0028 (avchigh)
Timed Text Track: pl, Profile: dfxp-ls-sdh, Id: T:2:0;1;pl;0;0;0;

Framerate: 24.000
Current Dropped Frames: 
Total Frames: 0
Total Dropped Frames: 0
Total Corrupted Frames: 0
Total Frame Delay: undefined
Main Thread stall/sec: DISABLED
VideoDiag: readyState=1,currentTime=890.001,pbRate=1,videoBuffered=9.208,videoRanges=889.291666-898.499999,audioBuffered=16.725,audioRanges=889.258666-905.983999,duration=3815.3333
HDR support: false (disabled)

Throughput: -1 kbps
',2022-12-29T23:19:30.234
2,1,'Version: 6.0033.414.911
Esn: NFCDCH-MC-HQ3P2RXDV5A2V9X6CLG73E208VDQJX
PBCID: 6.84xtb5vsG-KM8s_mWrOtPE-su1QwO7KDN7HOexcxtfM
UserAgent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

MovieId: 81323602
TrackingId: 14170287
Xid: 167235236867452300 (167235236867452300)
Position: 890.001
Duration: 3815.333
PlayerDuration: 3815.333
Volume: 90%
Segment Position: 890.001
Segment: 81323602:main

Player state: Normal
Buffering state: Normal
Rendering state: Waiting for decoder

Playing bitrate (a/v): 96 / 3566 (1920x1080)
Playing/Buffering vmaf: 96/96
Buffering bitrate (a/v): 96 / 3566
Buffer size in Bytes (a/v): 0 / 0
Buffer size in Bytes: 0
