id,started,ended,experiment_id,url
1,2022-12-29T23:19:26.636,,1,https://www.netflix.com/watch/81323602?trackId=14170287&tctx=2%2C1%2Cc84f290c-853c-4601-b4c1-5308bbcea05a-124498762%2CNES_060C4C184F5626321ED26682853EBA-B9F225DDE3A711-8DC11EAD4E_p_1672352319479%2CNES_060C4C184F5626321ED26682853EBA_p_1672352258927%2C%2C%2C%2C
2,2022-12-30T07:06:38.700,,2,https://www.netflix.com/watch/81323602?trackId=14170287&tctx=2%2C1%2Cc84f290c-853c-4601-b4c1-5308bbcea05a-124498762%2CNES_060C4C184F5626321ED26682853EBA-B9F225DDE3A711-8DC11EAD4E_p_1672352319479%2CNES_060C4C184F5626321ED26682853EBA_p_1672352258927%2C%2C%2C%2C
3,2022-12-30T08:01:32.710,2022-12-30T08:42:18.700,3,https://www.netflix.com/watch/81192858?trackId=251061762
